10,32
58,98
52,59
29,90
98,33
29,98
18,85
14,86
50,98
79,51
84,27
65,20
58,65
89,21
98,95,79
5,98
78,70
62,84
95,98
50,98
98,95
18,85
36,10
65,20
96,38
22,86
1,70
28,65
50,79
65,20
63,84
95,98
55,32
18,85
9,50
18,85
85,30,18
37,99
18,85
40,10
45,18
84,56
39,19
19,50
36,98
20,11
47,68
8,98
64,55
45,31
63,53
65,20,16
65,20,13
50,79
52,89
18,85
50,79
10,86
23,2
10,86
68,77
20,65
89,62
65,37
33,14
26,68
96,19
10,86,81
96,14
88,19
75,57
32,36
72,52
88,36
52,67
10,86
48,25
51,61
20,18,65
61,96
50,79
67,22
75,10
30,80
83,50
5,98
84,54
97,98
56,65,28
11,69
10,86
98,95
71,12,20
77,49
23,95
63,74
15,79
14,50
18,85
31,67
3,23
76,47
65,20
65,70
18,85
10,94
4,87
98,50
10,86
8,54
86,10
81,20
65,20
12,98
86,10
38,10
50,10
69,62
58,49
75,65
62,10
86,92
84,20
42,96
10,50
10,66
50,79,11
17,10
12,24,98
79,89
99,47
33,65
59,38
79,50
13,98
90,88
65,20
63,71
52,98
98,43
50,79
47,27
24,90
79,50
72,5,10
98,95
21,83
15,83
18,85
77,50
79,50
65,20
65,9
99,91
75,50
60,14
79,50
65,60
65,50
18,85
98,95
56,44
65,73
95,41
50,79
10,65
87,40
84,38
53,98
54,71
97,94
40,26
28,46
92,50
10,86
91,47
31,45
24,3
48,99
79,50
50,79
18,85
51,91
65,96
12,46
91,59
62,26,24
97,81
85,18
38,83
50,79
92,71
71,18
50,79
65,20
25,10
54,48
79,50
79,50
65,77
50,89
10,20
65,8
65,18
58,88
13,55
55,8
63,79
28,21
63,90
86,10
69,62
57,71
83,65
77,13
64,22
50,79
18,85
5,86
83,69
41,56
44,33
18,85
50,79
22,65
79,50
10,86
56,75
10,53
96,18
13,81
65,20
40,3
67,63
49,18
50,79,65
67,98
37,10
79,50
20,21
26,28
99,95,98
10,18
63,50
86,10
35,85
4,18
98,95
38,15
79,50
14,50
16,82
68,98
86,10
20,65
18,10
97,59
41,25
17,19
65,51
62,66,50
50,79,37
85,18
22,1
65,42
66,56
5,84
37,88
85,18
65,20
46,50,79
65,20
98,50
27,49
83,18
25,5
28,6
98,95
40,41
75,10
65,20
85,18
55,98
9,26
18,43
85,18
10,89
69,42
89,78
53,18
7,65
7,45
65,18
98,95
98,95
15,22
50,79
18,85
4,91
24,70
10,86
82,27
88,13
65,20
43,65
84,83
48,65
62,43
36,10
90,17
15,2
86,74,10
47,50
76,99
41,18
9,91
10,18
19,10
19,97
98,95
13,62
24,87
46,84
53,18
50,79
98,95
55,87
50,79
10,86
18,85
5,23
35,50
21,48
91,12
4,82
18,85
94,50
18,10
32,33
65,20
18,85
50,79
2,10
18,85
10,86
70,67
38,4
83,98
98,95
6,10
73,98
29,50
65,20
18,85
4,34
98,95
65,20
65,20
29,98
98,32
54,74
58,65
80,18
46,91
50,79
28,43,75
17,73
98,95
49,75
4,50,79
37,10
2,83
18,85,60
3,50
